Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Continent
United Arab Emirates,174.4,118.9,85.1,69.7,58.0,2.9,36.1,47.9,45.2,Asia
Japan,172.6,91.1,77.8,80.5,62.8,10.5,40.7,39.1,84.8,Asia
Oman,172.1,78.8,80.3,58.2,48.1,4.6,22.6,36.8,67.2,Asia
Qatar,155.6,98.1,85.8,73.7,60.6,6.9,30.0,60.0,36.0,Asia
Singapore,154.5,94.6,72.8,71.1,79.1,16.8,41.2,33.0,57.5,Asia
Saudi Arabia,150.2,93.3,75.4,61.2,50.3,2.9,29.0,63.3,46.0,Asia
Cyprus,148.2,54.5,68.9,54.1,52.5,6.8,23.1,55.2,92.2,Asia
Israel,146.4,73.5,67.8,73.7,77.3,13.3,36.4,57.8,93.9,Asia
Taiwan,143.8,61.8,83.9,86.0,55.9,19.7,31.7,64.9,81.6,Asia
South Korea,130.8,81.3,73.9,83.0,67.0,26.5,39.6,62.4,68.4,Asia
India,124.4,76.4,55.4,65.6,23.9,7.4,46.4,73.0,64.7,Asia
Malaysia,121.6,59.4,45.6,70.1,34.4,8.7,37.2,62.2,57.5,Asia
Turkey,119.5,28.0,60.1,70.7,28.4,11.9,44.0,65.1,90.4,Asia
Georgia,119.2,25.1,74.7,54.5,34.9,12.3,35.6,69.1,88.5,Asia
Kuwait,118.8,81.8,67.0,58.9,46.0,11.2,33.4,67.8,20.2,Asia
Jordan,113.7,32.2,59.0,64.9,47.5,8.2,41.2,76.2,89.0,Asia
Azerbaijan,108.8,29.4,68.3,46.6,28.3,14.1,39.6,74.0,91.4,Asia
Hong Kong,103.9,66.9,78.4,66.2,76.6,42.6,42.9,67.2,83.6,Asia
Pakistan,103.1,24.4,58.4,59.5,17.8,13.4,38.2,73.7,70.8,Asia
Thailand,101.9,30.8,61.1,77.6,38.6,21.6,39.1,75.4,69.4,Asia
Lebanon,97.7,32.0,53.4,62.9,68.5,12.7,38.7,89.5,94.7,Asia
Indonesia,96.9,25.5,53.9,60.5,32.2,17.8,43.4,67.2,69.0,Asia
Kazakhstan,96.6,35.2,47.0,59.9,26.5,9.6,34.7,73.0,39.8,Asia
China,95.6,56.2,71.2,66.7,40.3,38.4,39.5,80.2,79.4,Asia
Vietnam,86.3,28.2,54.2,59.1,35.6,24.1,29.7,85.6,71.2,Asia
Philippines,81.4,20.1,57.6,67.7,33.6,29.6,42.9,72.9,61.6,Asia
Iran,69.4,18.0,50.3,52.3,36.5,28.6,46.7,75.2,65.7,Asia
Sri Lanka,68.9,15.3,59.0,72.0,22.4,44.4,56.9,60.3,59.1,Asia
Bangladesh,68.5,25.3,36.9,41.7,29.3,11.9,57.5,85.5,71.3,Asia
Switzerland,195.1,116.2,77.9,75.3,110.3,8.9,28.4,19.4,79.6,Europe
Denmark,194.2,99.8,73.7,79.8,73.1,6.3,28.4,20.9,81.8,Europe
Netherlands,191.5,99.6,72.4,75.9,67.7,7.4,26.6,24.7,86.9,Europe
Finland,186.8,91.0,73.2,76.8,63.7,7.5,27.6,12.0,56.6,Europe
Iceland,184.5,82.6,75.7,66.6,86.6,6.8,20.0,15.8,68.8,Europe
Norway,179.6,86.3,66.5,77.1,85.9,7.8,26.9,18.0,68.7,Europe
Germany,178.3,102.7,63.0,72.4,59.6,10.6,31.1,28.1,82.9,Europe
Austria,178.1,75.1,73.2,76.2,64.1,10.9,25.4,22.2,77.1,Europe
Estonia,173.8,60.4,75.9,73.9,49.5,10.1,24.0,18.4,64.3,Europe
Luxembourg,173.8,96.1,64.4,71.5,72.1,14.0,31.7,24.1,82.6,Europe
Sweden,173.7,94.9,51.2,68.8,61.8,9.5,29.4,18.0,74.9,Europe
Spain,173.0,77.3,65.0,78.1,47.5,7.5,29.2,39.1,93.6,Europe
Slovenia,168.7,57.9,76.8,65.1,47.3,11.7,26.3,22.8,77.6,Europe
United Kingdom,164.8,92.9,53.4,74.5,60.4,8.0,34.4,40.4,88.0,Europe
Czech Republic,163.8,69.9,74.2,75.5,44.3,14.9,29.4,35.3,78.3,Europe
Lithuania,163.0,55.7,67.4,73.4,43.1,12.2,25.3,24.8,69.9,Europe
Croatia,162.7,52.8,76.0,63.7,43.7,13.2,26.7,31.4,89.9,Europe
Portugal,162.2,47.9,68.5,72.1,42.2,13.0,29.6,31.0,97.8,Europe
Belgium,155.8,86.3,53.3,75.5,62.8,6.6,36.4,49.8,86.0,Europe
France,152.7,79.6,45.6,80.0,65.6,11.8,34.7,42.2,90.0,Europe
Latvia,152.2,49.8,61.5,63.2,45.2,7.7,30.2,32.0,74.7,Europe
Ireland,151.7,75.2,54.1,52.0,66.7,7.0,37.9,35.0,89.1,Europe
Slovakia,150.5,53.8,69.5,60.1,41.0,12.0,28.1,38.6,78.1,Europe
Italy,137.3,58.0,53.8,66.7,58.5,11.1,33.6,54.4,91.7,Europe
Hungary,136.2,53.2,66.1,54.3,34.6,13.2,35.6,47.8,79.5,Europe
Poland,132.2,60.7,67.9,54.6,35.1,13.5,32.3,60.1,76.0,Europe
Romania,131.1,48.8,67.5,56.5,34.9,11.1,33.4,58.5,76.5,Europe
Bosnia And Herzegovina,129.4,46.5,57.3,55.3,32.2,10.4,26.2,60.2,80.5,Europe
Bulgaria,129.0,46.9,61.6,56.8,37.6,9.6,29.0,63.8,81.2,Europe
Greece,127.1,38.4,52.0,57.2,50.2,12.1,33.7,51.8,93.8,Europe
Serbia,120.4,41.6,61.8,52.4,33.3,14.8,31.0,63.3,83.2,Europe
Ukraine,112.1,36.3,53.4,55.2,30.7,11.3,37.9,62.3,70.7,Europe
North Macedonia,109.8,35.6,59.0,55.6,28.5,12.7,26.0,79.5,76.3,Europe
Belarus,109.6,32.3,42.8,46.1,26.4,17.4,29.9,44.4,64.4,Europe
Malta,106.1,44.8,56.3,38.2,57.7,12.9,30.0,81.1,97.4,Europe
Russia,103.2,42.2,60.7,59.9,48.1,16.9,44.1,60.8,48.9,Europe
United States,167.2,99.9,51.6,68.9,69.9,4.6,32.9,35.7,77.1,America
Canada,163.8,101.7,56.4,70.8,68.8,8.9,33.6,28.9,55.3,America
Puerto Rico,131.1,65.4,38.2,56.9,64.6,4.2,34.8,48.9,71.2,America
Mexico,126.9,41.1,46.1,72.8,35.1,8.2,39.2,58.3,85.5,America
Costa Rica,122.9,38.6,46.1,63.0,43.6,10.0,60.2,44.2,99.5,America
Uruguay,122.7,28.6,47.9,68.0,59.1,18.1,37.3,44.8,98.0,America
Ecuador,120.3,33.6,42.1,68.9,35.7,11.8,37.9,58.3,94.5,America
Panama,115.3,32.7,56.4,61.1,48.3,11.3,36.7,57.8,67.8,America
Argentina,110.1,33.6,35.9,69.0,32.1,22.8,43.4,50.9,98.3,America
Brazil,104.0,27.3,33.2,57.9,34.8,18.5,41.1,53.7,94.9,America
Colombia,102.9,28.3,41.3,67.5,25.2,16.9,47.9,63.1,88.3,America
Chile,102.9,35.8,43.5,64.2,37.2,15.1,35.8,78.3,90.2,America
Peru,81.3,28.5,32.8,55.8,30.7,18.6,49.6,82.4,97.7,America
Venezuela,73.0,12.7,16.8,39.2,41.8,18.3,33.1,75.7,99.9,America
South Africa,136.6,77.8,24.6,64.0,37.9,3.3,39.2,56.4,95.3,Africa
Tunisia,117.3,28.6,56.1,57.3,25.5,11.2,32.5,69.9,94.5,Africa
Morocco,107.2,32.7,52.6,46.4,29.7,13.2,36.9,69.3,90.0,Africa
Egypt,91.2,21.7,53.4,47.4,26.3,11.1,48.3,83.4,90.8,Africa
Kenya,90.9,32.2,43.7,63.4,33.4,26.9,52.1,69.2,99.8,Africa
Nigeria,45.1,8.2,35.9,48.5,30.0,22.3,63.4,88.1,60.8,Africa
Australia,190.7,117.6,55.2,77.8,72.3,5.6,34.7,24.2,93.9,Oceania
New Zealand,176.8,85.0,55.4,73.0,69.0,8.0,30.7,23.9,96.4,Oceania
